Data,Otwarcie,Najwyższy,Najniższy,Zamknięcie,Ticker
2012-12-27,3.53,3.53,3.53,3.53,WIBID_ON
2012-12-24,4.29,4.29,4.29,4.29,WIBOR_ON
2012-12-24,4.11,4.11,4.11,4.11,WIBOR_6M
2012-12-24,4.15,4.15,4.15,4.15,WIBOR_3M
2012-12-24,4.25,4.25,4.25,4.25,WIBOR_1M
2012-12-24,4,4,4,4,WIBID_ON
2012-12-21,4.33,4.33,4.33,4.33,WIBOR_ON
2012-12-21,4.12,4.12,4.12,4.12,WIBOR_6M
2012-12-21,4.16,4.16,4.16,4.16,WIBOR_3M
2012-12-21,4.27,4.27,4.27,4.27,WIBOR_1M
2012-12-21,4.03,4.03,4.03,4.03,WIBID_ON
2012-12-20,4.33,4.33,4.33,4.33,WIBOR_ON
2012-12-20,4.14,4.14,4.14,4.14,WIBOR_6M
2012-12-20,4.17,4.17,4.17,4.17,WIBOR_3M
2012-12-20,4.28,4.28,4.28,4.28,WIBOR_1M
2012-12-20,4.05,4.05,4.05,4.05,WIBID_ON
2012-12-19,4.36,4.36,4.36,4.36,WIBOR_ON
2012-12-19,4.15,4.15,4.15,4.15,WIBOR_6M
2012-12-19,4.19,4.19,4.19,4.19,WIBOR_3M
2012-12-19,4.3,4.3,4.3,4.3,WIBOR_1M
2012-12-19,4.08,4.08,4.08,4.08,WIBID_ON
2012-12-18,4.38,4.38,4.38,4.38,WIBOR_ON
2012-12-18,4.16,4.16,4.16,4.16,WIBOR_6M
2012-12-18,4.2,4.2,4.2,4.2,WIBOR_3M
2012-12-18,4.31,4.31,4.31,4.31,WIBOR_1M
2012-12-18,4.11,4.11,4.11,4.11,WIBID_ON
2012-12-17,4.39,4.39,4.39,4.39,WIBOR_ON
2012-12-17,4.18,4.18,4.18,4.18,WIBOR_6M
2012-12-17,4.21,4.21,4.21,4.21,WIBOR_3M
2012-12-17,4.34,4.34,4.34,4.34,WIBOR_1M
2012-12-17,4.1,4.1,4.1,4.1,WIBID_ON
2012-12-14,4.4,4.4,4.4,4.4,WIBOR_ON
2012-12-14,4.19,4.19,4.19,4.19,WIBOR_6M
2012-12-14,4.23,4.23,4.23,4.23,WIBOR_3M
2012-12-14,4.35,4.35,4.35,4.35,WIBOR_1M
2012-12-14,4.13,4.13,4.13,4.13,WIBID_ON
2012-12-13,4.4,4.4,4.4,4.4,WIBOR_ON
2012-12-13,4.22,4.22,4.22,4.22,WIBOR_6M
2012-12-13,4.26,4.26,4.26,4.26,WIBOR_3M
2012-12-13,4.35,4.35,4.35,4.35,WIBOR_1M
2012-12-13,4.13,4.13,4.13,4.13,WIBID_ON
2012-12-12,4.39,4.39,4.39,4.39,WIBOR_ON
